exercise_id,exercise_name,roles,file,relative_path,width,height,mode,status,reason,score
thread,Protažení s rotací v kleku,HERO,thread_the_needle_hero.png,Pilates Assets/02_Exercise_Cards/Thread the Needle/thread_the_needle_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,1.2376316986819702
supine_twist,Rotace páteře vleže,HERO,supine_twist_hero.png,Pilates Assets/02_Exercise_Cards/Supine Twist/supine_twist_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold; wall too blue/cold,1.2032437324523926
press,Tlaky s činkami nad hlavu,START/END,shoulder_press_start.png,Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold; wall too blue/cold,1.1932737443905375
triceps_kickback,Triceps Kickback,START/END,triceps_kickback_start.png,Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,1.1715292930603027
chest_press,Tlaky s činkami vleže,START/END,chest_press_start.png,Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,1.1389899253845215
swimming,Swimming,START/END,swimming_start.png,Pilates Assets/02_Exercise_Cards/Swimming/swimming_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,1.1270291746090568
plie,Plié Squat,HERO,plie_squat_hero.png,Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,1.082756519317627
rainbow,Rainbow Leg Raise,START,rainbow_leg_raise_start.png,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold; excessive floor highlight,1.0679901440938313
russian,Rotace trupu v sedu,HERO,russian_twist_hero.png,Pilates Assets/02_Exercise_Cards/Russian Twist/russian_twist_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,1.0539722442626953
press,Tlaky s činkami nad hlavu,HERO,shoulder_press_hero.png,Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,1.0351618925730388
rainbow,Rainbow Leg Raise,END,rainbow_leg_raise_end.png,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_end.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold; excessive floor highlight,1.0312199009941971
figure_four,Protažení hýždí vleže,HERO,figure_four_stretch_hero.png,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,1.0282492637634277
sidekick,Side Kick,HERO,side_kick_hero.png,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold; excessive floor highlight,1.0164785385131836
tap,Plank Shoulder Taps,HERO,plank_shoulder_taps_hero.png,Pilates Assets/02_Exercise_Cards/Plank Shoulder Taps/plank_shoulder_taps_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.9629702568054199
catcow,Cat-Cow,END,cat_cow_end.png,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_end.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,0.9491722583770752
catcow,Cat-Cow,HERO,cat_cow_hero.png,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,0.9486417770385742
supine_twist,Rotace páteře vleže,START/END,supine_twist_start.png,Pilates Assets/02_Exercise_Cards/Supine Twist/supine_twist_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.9369635581970215
bird,Bird Dog,START/END,bird_dog_start.png,Pilates Assets/02_Exercise_Cards/Bird Dog/bird_dog_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,0.9059854795812731
catcow,Cat-Cow,START,cat_cow_start.png,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,0.9059854795812731
childs_pose,Pozice dítěte,START/END,childs_pose_start.png,Pilates Assets/02_Exercise_Cards/Child's Pose/childs_pose_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,0.9059854795812731
donkey,Zanožování v kleku,START/END,donkey_kick_start.png,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,0.9059854795812731
donkey,Zanožování v kleku,HERO,donkey_kick_hero.png,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,0.8894007205963135
dumbbell_pullover,Přítah činky za hlavu,HERO,Dumbbell Pullover hero.png,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover hero.png,1536,1024,RGB,MINOR COLOR FIX,wall tone differs,0.8858410445538648
mermaid,Mermaid Stretch,START/END,mermaid_stretch_start.png,Pilates Assets/02_Exercise_Cards/Mermaid Stretch/mermaid_stretch_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.8846306800842285
chest_fly,Rozpažování s činkami vleže,HERO,chest_fly_hero.png,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall tone differs,0.8787695220558674
dumbbell_pullover,Přítah činky za hlavu,START/END,Dumbbell Pullover start.png,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover start.png,1536,1024,RGB,MINOR COLOR FIX,wall tone differs,0.8514614702978034
