exercise_ids,roles,source,candidate,status,source_sha256,candidate_sha256,dimensions,mode,format,horizon_y,mask_pixels,changed_pixels,changed_outside_environment_mask,wall_relative_shift_Lab,floor_relative_shift_Lab
scissors,scissors:HERO,Pilates Assets/02_Exercise_Cards/Scissors/scissors_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Scissors/scissors_hero.png,MINOR COLOR FIX,057fc14e74f4aaa37920227465ef95d766a8f9c3c97647bc3aa4d6da20e34945,b88316983fbddfaca9745505af0e99782aa6f1e61a44cf258f83005c47c5fddb,1536x1024,RGB,PNG,762,1087417,1087417,0,"[-1.129, -0.146, 1.168]","[-0.803, -1.584, 1.205]"
hollow,"hollow:START,hollow:END",Pilates Assets/02_Exercise_Cards/Hollow Hold/hollow_hold_start.png,candidates/Pilates Assets/02_Exercise_Cards/Hollow Hold/hollow_hold_start.png,MINOR COLOR FIX,d3df1aee9e5fe5bbce102e0ec93d6bde186f2fc24ed4097ecce0babb9b8e4e3f,98086f3c601b535469aa6e227e269e84e50f7b57eb881e37a389dcfa069213d8,1536x1024,RGB,PNG,687,1112688,1112688,0,"[-1.188, 0.361, 2.119]","[-1.386, -2.188, -0.409]"
hollow,hollow:HERO,Pilates Assets/02_Exercise_Cards/Hollow Hold/hollow_hold_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Hollow Hold/hollow_hold_hero.png,STRONG COLOR FIX,29e2746374a8c5e57b13dbb423e13f4050e3cd901c54c97904aa8016d38bae74,b51a6005a93475558dd70694f173e2283ac91be2bbc779412f8fc3a99ea94052,1536x1024,RGB,PNG,770,1099292,1099292,0,"[-1.188, 0.657, 3.49]","[-1.386, -1.621, -0.442]"
hundred,"hundred:START,hundred:END",Pilates Assets/02_Exercise_Cards/The Hundred/hundred_start.png,candidates/Pilates Assets/02_Exercise_Cards/The Hundred/hundred_start.png,MINOR COLOR FIX,5903945a4aa216bc287b94c19ed23a235024c3a8618c3539fdcddd49ce6efc8d,090fc8753532a6ccf42138955949af1c2a230886a75b0b29991a08ae0b4e0db7,1536x1024,RGB,PNG,789,1185683,1185683,0,"[-1.188, 0.192, 2.764]","[-1.386, -0.638, 2.096]"
hundred,hundred:HERO,Pilates Assets/02_Exercise_Cards/The Hundred/hundred_hero.png,candidates/Pilates Assets/02_Exercise_Cards/The Hundred/hundred_hero.png,MINOR COLOR FIX,ad6673a96acdb003149ec41046866c6d6ac2e4b2a13cd17609a06e6575db99f7,da7fcbfaaec723a7c3b6d47541d7a803e7a5cbdf06bcfd07c41214b30784ca04,1536x1024,RGB,PNG,751,1117466,1117466,0,"[-1.008, -0.134, 1.618]","[-1.386, -2.519, 0.53]"
inner_thigh,"inner_thigh:START,inner_thigh:END",Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_start.png,candidates/Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_start.png,STRONG COLOR FIX,55ccc1c62e43d3bde2f026b43d55421255b484197f2bcefffc16917d43641d1b,6315672553c5f2f4e35ced43b198ba8e5fbf066da3bc246525a3cb1c822c9658,1536x1024,RGB,PNG,703,1167630,1167630,0,"[-1.188, 0.431, 3.6]","[-1.386, -0.488, 1.524]"
inner_thigh,inner_thigh:HERO,Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_hero.png,STRONG COLOR FIX,891258b48fb755324382b8bdda7596af1114c7cc71a6626e9378fd24e877f0ce,d8f616649b95eddadea6af7497b8832bf098146b079bd4aa6fd61e6179805a50,1536x1024,RGB,PNG,773,1106438,1106438,0,"[-1.188, 0.67, 3.6]","[-1.386, -2.028, -1.229]"
legraises,"legraises:START,legraises:END",Pilates Assets/02_Exercise_Cards/Leg Raises/leg_raises_start.png,candidates/Pilates Assets/02_Exercise_Cards/Leg Raises/leg_raises_start.png,MINOR COLOR FIX,65921706ad2ba918f267d94ba8fbd23dda86a95bfb69dfbb8d61afd91f10db17,db89acf44af86c210405b8a96f361270532bf19835bbdda53abd1cbd4dbeada9,1536x1024,RGB,PNG,530,1135085,1135085,0,"[0.492, -0.118, 1.783]","[0.752, -2.075, -1.506]"
legraises,legraises:HERO,Pilates Assets/02_Exercise_Cards/Leg Raises/leg_raises_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Leg Raises/leg_raises_hero.png,STRONG COLOR FIX,54ce8c27f958f5b983693602ad0862510478939eda7091e015870e44f0060e93,79549f186e8e078c13e077da582eb674fb8c511709c5f23406e97d765a273482,1536x1024,RGB,PNG,764,1075589,1075589,0,"[0.174, -0.017, 1.8]","[-0.622, -2.634, -2.402]"
spine,"spine:START,spine:END",Pilates Assets/02_Exercise_Cards/Spine Stretch/spine_stretch_start.png,candidates/Pilates Assets/02_Exercise_Cards/Spine Stretch/spine_stretch_start.png,MINOR COLOR FIX,6a431021c45bce007f9946fc2919d4037118d04c23f010d0e822c789ff7ef382,ffbcac7177ca1ee81ec94e26a01adc7fb779c4da4cb167a0ba1a43a59410e72e,1536x1024,RGB,PNG,736,1122713,1122713,0,"[-1.188, 0.598, 1.427]","[-1.386, -0.753, 0.272]"
spine,spine:HERO,Pilates Assets/02_Exercise_Cards/Spine Stretch/spine_stretch_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Spine Stretch/spine_stretch_hero.png,MINOR COLOR FIX,06531ea5e2c3796a4cacde7c400a1c7ee5b08b199ec465500a5076b664cdc418,7b9c79a261b6b1a52f87f536b0396672e4065fa10f3b45b32cc29b3e9d2dfcc9,1536x1024,RGB,PNG,716,1081608,1081608,0,"[-1.188, 0.489, 1.778]","[-1.386, -0.871, -0.077]"
sphinx,"sphinx:START,sphinx:HERO,sphinx:END",Pilates Assets/02_Exercise_Cards/Sphinx Stretch/sphinx_stretch_start.png,candidates/Pilates Assets/02_Exercise_Cards/Sphinx Stretch/sphinx_stretch_start.png,STRONG COLOR FIX,fcad29f8c657327a9d11e7d2ddb48e6bc9dcec540ac88a871b07f961f0e17f98,b24df722a53a3ae2825d6b7353848e4faaf47e97e28c88d5b47e50ffe014c7b0,1536x1024,RGB,PNG,768,1177421,1177421,0,"[-1.188, 0.223, 3.008]","[-1.386, -1.705, -1.121]"
mermaid,"mermaid:START,mermaid:END",Pilates Assets/02_Exercise_Cards/Mermaid Stretch/mermaid_stretch_start.png,candidates/Pilates Assets/02_Exercise_Cards/Mermaid Stretch/mermaid_stretch_start.png,STRONG COLOR FIX,a50e74bad93c001e36745d581b86ee8f30b472de9b2492d71d560b7039e8c6b8,baacb08e608c333c3f4671774e14bfd8ee9a2acedb9fa078236818fcc35a9abe,1536x1024,RGB,PNG,730,1108095,1108095,0,"[-1.188, 0.814, 3.6]","[-1.386, -2.684, -0.326]"
mermaid,mermaid:HERO,Pilates Assets/02_Exercise_Cards/Mermaid Stretch/mermaid_stretch_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Mermaid Stretch/mermaid_stretch_hero.png,STRONG COLOR FIX,2b17e9886867050df3ae96883004f47198e7d507f43da017720faa3e327b2da8,1fc7556e85e771accd4726d3229e301721c099613178aa624950c27a6eeebe38,1536x1024,RGB,PNG,758,1084008,1084008,0,"[-1.188, 0.412, 3.6]","[-1.386, -2.948, -0.617]"
plie,"plie:START,plie:END",Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_start.png,candidates/Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_start.png,STRONG COLOR FIX,1c1d88cbc0e7f614237f275473b450fbc3454c234c9b334a9b9b3f327ea6712c,c1d9a8f033c329c996335094dffceaaa10c5febbb0cd7afed8775ef8814522d6,1536x1024,RGB,PNG,641,1117721,1117721,0,"[-1.188, 0.529, 3.6]","[-0.216, -2.295, -1.212]"
plie,plie:HERO,Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_hero.png,STRONG COLOR FIX,bcbc35a23b2b5f2a3f06ed400f2157a28101446b822808409fc038f6476244ca,1dba0fffecd3a2bab63c51b58a4163de9fea7c9f499f35faaad1700bb096abdc,1536x1024,RGB,PNG,648,1089829,1089829,0,"[-1.188, 0.479, 3.6]","[-0.778, -3.183, -1.141]"
rollup,"rollup:START,rollup:END",Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_start.png,candidates/Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_start.png,STRONG COLOR FIX,c887c1042757f6f37f76cdebd982182f70e015931659bb5df860433a5f402e0b,b9add18f612f443a7ada5155d5c5cdafd5c7217e970ed69a6c5c825300286dd4,1536x1024,RGB,PNG,753,1121945,1121945,0,"[-0.827, 0.123, 3.6]","[-0.869, -3.259, -3.082]"
rollup,rollup:HERO,Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_hero.png,STRONG COLOR FIX,feb6de94738905d116caa668476f6885ef2bc46274afae7e201f0d3946e5a552,ac8704080942c96719e37ac3b0d0369d06b39069fce4ea198c78336183d13252,1536x1024,RGB,PNG,715,1085693,1085693,0,"[-1.188, 0.689, 2.984]","[-1.386, -2.443, -2.239]"
plank,"plank:START,plank:HERO,plank:END",Pilates Assets/02_Exercise_Cards/Forearm Plank/forearm_plank_start.png,candidates/Pilates Assets/02_Exercise_Cards/Forearm Plank/forearm_plank_start.png,STRONG COLOR FIX,c6978e701cfaf76dab7111aab8d70370380a8c7bba853296861352a820127c68,2b667ce96a6a780f13267c2e1b069f3dec07abfc739253e7daf99ba522f9824f,1536x1024,RGB,PNG,728,1053897,1053897,0,"[-1.188, 0.679, 2.738]","[-1.174, -2.384, -1.876]"
tap,"tap:START,tap:END",Pilates Assets/02_Exercise_Cards/Plank Shoulder Taps/plank_shoulder_taps_start.png,candidates/Pilates Assets/02_Exercise_Cards/Plank Shoulder Taps/plank_shoulder_taps_start.png,STRONG COLOR FIX,c5f9a762ef4701fd1bad7588d283d79729769738e53bc3c7d11854d594a71398,0f32f3bdf9c0f60a04f4ebfe09c4afecfdf9d036aca733d0ecaeb3dacf6ed928,1536x1024,RGB,PNG,726,970411,970411,0,"[-1.188, 0.951, 3.6]","[-1.062, -2.481, -0.907]"
tap,tap:HERO,Pilates Assets/02_Exercise_Cards/Plank Shoulder Taps/plank_shoulder_taps_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Plank Shoulder Taps/plank_shoulder_taps_hero.png,STRONG COLOR FIX,fd7e4948f6a0f597388f87c146cb76b41b26025ce7ee25aba1d00fa8b55e7528,5143003d2ef33e6279ba7882d0af40b7bbc7c35b8566d868ea11548c70d844fd,1536x1024,RGB,PNG,725,955912,955912,0,"[-1.188, 0.718, 3.6]","[-0.984, -2.718, -0.941]"
supine_twist,"supine_twist:START,supine_twist:END",Pilates Assets/02_Exercise_Cards/Supine Twist/supine_twist_start.png,candidates/Pilates Assets/02_Exercise_Cards/Supine Twist/supine_twist_start.png,STRONG COLOR FIX,db17aba43cf58d302f14f713dec7c87024568be7950b0821c4ec34ebc94b9699,00fc9dfd65356ee8c2c457026d40a4dfceeacdd67a6cd8946fab17ff1aab3c3e,1536x1024,RGB,PNG,546,1171245,1171245,0,"[-1.188, 0.48, 3.6]","[-1.386, -1.17, 2.47]"
supine_twist,supine_twist:HERO,Pilates Assets/02_Exercise_Cards/Supine Twist/supine_twist_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Supine Twist/supine_twist_hero.png,STRONG COLOR FIX,a796111e9494d8050670e9f1a38117f0a1caed0c4b85d92b3ba765d0bf468dfe,2c54fda44aa2ec2284a336c3a3effc6459a944f8019f89da8c860a4fdd3fd67b,1536x1024,RGB,PNG,541,1179539,1179539,0,"[-1.188, 0.351, 3.6]","[-1.386, -1.5, 2.779]"
knee_pushup,"knee_pushup:START,knee_pushup:END",Pilates Assets/02_Exercise_Cards/Knee Push-Up/knee_push_up_start.png,candidates/Pilates Assets/02_Exercise_Cards/Knee Push-Up/knee_push_up_start.png,MINOR COLOR FIX,542a4176948792153069208ffea6b5a709e607b9e7f617373971a61ea3d64938,e61b0c6c005c6fe48f90cad23ab15602794d71b43b84b33cd9587dc085e4d616,1536x1024,RGB,PNG,741,1059756,1059756,0,"[-1.188, 0.241, 1.256]","[0.595, -1.582, -1.108]"
knee_pushup,knee_pushup:HERO,Pilates Assets/02_Exercise_Cards/Knee Push-Up/knee_push_up_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Knee Push-Up/knee_push_up_hero.png,MINOR COLOR FIX,da4bb980451fd63a45f206e91718ffe78e03fa59ab65ded0d96a849f4eb55bb2,73ca27cca2df771c9b4287d9e56dd54a8a3c92061ca535e6d347ef2f96d2567d,1536x1024,RGB,PNG,726,1106035,1106035,0,"[-1.188, 0.353, 1.7]","[0.023, -1.5, -0.605]"
chest_press,"chest_press:START,chest_press:END",Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_start.png,candidates/Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_start.png,STRONG COLOR FIX,6836b68bcec155bf5bb90703fb0a63f0d2d52c99a7f7d3c26b8568951117ff7d,73f48d1fe81afa16819a6dca3a11d6f562ba66c816c27a469635e00ddeff26a6,1536x1024,RGB,PNG,794,901987,901987,0,"[-1.188, 0.613, 3.6]","[-1.386, -3.588, -1.641]"
chest_press,chest_press:HERO,Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_hero.png,STRONG COLOR FIX,68a235be48f148282e9ddeeb0e68e786d35fe1dea07234757d0f2ccd6ec0a81c,10c3900848f512cd559f0127e9ae62afc0df155e9ae6a92abc1fc43da7ff8c27,1536x1024,RGB,PNG,793,819657,819657,0,"[-1.188, 0.446, 3.6]","[-1.386, -3.6, -1.415]"
triceps_kickback,"triceps_kickback:START,triceps_kickback:END",Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_start.png,candidates/Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_start.png,STRONG COLOR FIX,04adc6445956fc047d04fab07db1e1d09215a2a1acbec472ae7f8140f6ed7e6b,d202df88836efab8b24529dca99adabf5c13ae35c54b11325ad41c2d76f0ba5a,1536x1024,RGB,PNG,723,982087,982087,0,"[-1.188, 0.448, 3.6]","[-1.386, -3.6, -0.86]"
triceps_kickback,triceps_kickback:HERO,Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_hero.png,STRONG COLOR FIX,92d46c6dc58058c0e339966979fe630b16ea062934079888de85c5a1e3e26bea,f3b1a94c53f6cb8a2ac4abd8277fd90594e865a1d3e8249b48243beb62bb1b3f,1536x1024,RGB,PNG,718,1068100,1068100,0,"[-1.188, 0.307, 3.6]","[-1.386, -3.468, -2.47]"
chest_fly,"chest_fly:START,chest_fly:END",Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_start.png,candidates/Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_start.png,STRONG COLOR FIX,988dc8d1ec3e3fcf7db67db1adc2a07924dcdc33229a66a5b488f842d6f443bf,4b9e95216f9462a80ab3f098aba9f513bd3e6d18a7d24301c758ee761f2fbacf,1536x1024,RGB,PNG,788,1113187,1113187,0,"[-1.188, 0.685, 3.524]","[-1.386, -1.555, -0.787]"
chest_fly,chest_fly:HERO,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_hero.png,STRONG COLOR FIX,26296bab461ca3087bf408a7de0e8851d511e98e8ae9b20ca5cb5c669d5f2e0c,26a72d118566022851111e6d3cfd46f253f730b3c3bfae9f2ab126464a5c747f,1536x1024,RGB,PNG,788,1098701,1098701,0,"[-1.188, 1.229, 3.6]","[-1.386, -2.086, -1.009]"
