exercise_ids,roles,source,candidate,status,source_sha256,candidate_sha256,dimensions,mode,format,horizon_y,mask_pixels,changed_pixels,changed_outside_environment_mask,wall_relative_shift_Lab,floor_relative_shift_Lab
glute_bridge_march,"glute_bridge_march:START,glute_bridge_march:END",Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_start.png,candidates/Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_start.png,MINOR COLOR FIX,d3df1aee9e5fe5bbce102e0ec93d6bde186f2fc24ed4097ecce0babb9b8e4e3f,98086f3c601b535469aa6e227e269e84e50f7b57eb881e37a389dcfa069213d8,1536x1024,RGB,PNG,687,1112688,1112688,0,"[-1.188, 0.361, 2.119]","[-1.386, -2.188, -0.409]"
glute_bridge_march,glute_bridge_march:MID,Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_mid.png,candidates/Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_mid.png,MINOR COLOR FIX,055f549c5d818761806d0440267461420f4899e8876f5e0e1d5405ce2d90b156,f49f6a076b32ebfeae21bdd8bef9747f66939fc8e62a96c4db1e4cf2a9375a31,1536x1024,RGB,PNG,745,1067919,1067919,0,"[-1.188, 0.335, 2.564]","[-1.386, -1.744, -0.53]"
glute_bridge_march,glute_bridge_march:HERO,Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Glute Bridge March/glute_bridge_march_hero.png,STRONG COLOR FIX,94026231a8f22ed70015f2bc10d1bd2c80d4b90683436560cf7e065388105a01,ea2d7fa752ea9ab113e51a05b83a577f58a370bdcd8dd3eb50a0be1b7d73dbc9,1536x1024,RGB,PNG,745,1040316,1040316,0,"[-1.188, 0.166, 3.6]","[-1.11, -2.623, -1.056]"
abduction,"abduction:START,abduction:END",Pilates Assets/02_Exercise_Cards/Bridge Abduction/bridge_abduction_start.png,candidates/Pilates Assets/02_Exercise_Cards/Bridge Abduction/bridge_abduction_start.png,MINOR COLOR FIX,055f549c5d818761806d0440267461420f4899e8876f5e0e1d5405ce2d90b156,f49f6a076b32ebfeae21bdd8bef9747f66939fc8e62a96c4db1e4cf2a9375a31,1536x1024,RGB,PNG,745,1067919,1067919,0,"[-1.188, 0.335, 2.564]","[-1.386, -1.744, -0.53]"
abduction,abduction:HERO,Pilates Assets/02_Exercise_Cards/Bridge Abduction/bridge_abduction_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Bridge Abduction/bridge_abduction_hero.png,MINOR COLOR FIX,7a29dee229e52350f8e76016c443eaa266c0f0962748641eec6f6e1ea03d671b,f2c2dd816db60f83fc0e6d52480812174dc3f522954ec2b1e417013612f4322f,1536x1024,RGB,PNG,743,1063434,1063434,0,"[-1.188, 0.093, 2.951]","[-1.386, -2.17, -0.575]"
rainbow,rainbow:START,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_start.png,candidates/Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_start.png,STRONG COLOR FIX,0dc80d144c0e2f4d5166a3856979b0cc5e6272827ae7b6d7bd987320374a233d,bf74192fe01b81aed6195cfd079027533390c4fec6bca034c413f3954ec28a54,1536x1024,RGB,PNG,796,1080158,1080158,0,"[-1.188, 0.551, 3.6]","[-1.386, -0.231, 2.828]"
rainbow,rainbow:HERO,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_hero.png,STRONG COLOR FIX,10ae2d347b82fa619c4e62fc20f27fdb8ab9cb45de1ded557a0283d89c2612b2,37143ee3c1ac5f32741c20fe56dcfe276cfe3898503070e8da86899e1fda914e,1536x1024,RGB,PNG,710,1077628,1077628,0,"[-1.188, 0.344, 3.6]","[-1.386, -0.054, 3.644]"
rainbow,rainbow:END,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_end.png,candidates/Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_end.png,MINOR COLOR FIX,f8fb1eee99d1154d7114b25b50922279593991c820f7ea7025818353f326af37,ef1b56817b97553991e1b324628b9a7811680bbeede1f536e1b52d4131820e11,1536x1024,RGB,PNG,797,1102100,1102100,0,"[-1.188, 0.45, 2.637]","[-1.386, -0.359, 1.909]"
hamstring_supine,"hamstring_supine:START,hamstring_supine:END",Pilates Assets/02_Exercise_Cards/Hamstring Stretch/hamstring_stretch_start.png,candidates/Pilates Assets/02_Exercise_Cards/Hamstring Stretch/hamstring_stretch_start.png,MINOR COLOR FIX,78992b6ba84722d70274f22b88d5114d796c54ee08ff80af0cf873562c394a25,fd93aa988f320ed07966f0d1307288203f79e66de8adcc5c3b32a7e1a423074d,1536x1024,RGB,PNG,760,1074343,1074343,0,"[-1.188, 0.505, 1.774]","[-1.386, -1.13, -0.346]"
hamstring_supine,hamstring_supine:HERO,Pilates Assets/02_Exercise_Cards/Hamstring Stretch/hamstring_stretch_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Hamstring Stretch/hamstring_stretch_hero.png,MINOR COLOR FIX,9a3d7e113af68b8ebcada69a69003149e889ead21d9ac551cb4a4d3d8b04f621,0cc6b272a16404ffce5f1107631c738b3fb5cd9b2a7f5286d680d1ceae395bf7,1536x1024,RGB,PNG,756,1085590,1085590,0,"[-1.188, 0.5, 0.991]","[-1.386, -1.133, -1.263]"
