exercise_id,frame,source_path,width,height,floor_score,wall_score,total_score,floor_diagnosis,wall_diagnosis,rank
sideplank_reach,END,Pilates Assets/02_Exercise_Cards/Side Plank Reach/side_plank_reach_end.png,1536,1024,13.6519,7.2803,10.7847,TOO ORANGE,TOO COOL/BLUE,34
press,START/END,Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_start.png,1536,1024,8.4668,13.4537,10.7109,TOO COOL; TOO PALE,TOO COOL/BLUE,35
figure_four,HERO,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_hero.png,1536,1024,9.7016,11.5641,10.5397,TOO PINK,TOO COOL/BLUE,36
tap,HERO,Pilates Assets/02_Exercise_Cards/Plank Shoulder Taps/plank_shoulder_taps_hero.png,1536,1024,8.9912,12.3837,10.5178,TOO PINK,TOO COOL/BLUE,37
rollup,HERO,Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_hero.png,1536,1024,9.2342,11.6940,10.3411,TOO PINK,TOO COOL/BLUE,38
hydrant,START/END,Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_start.png,1536,1024,6.0778,15.0556,10.1178,PASS,TOO COOL/BLUE,39
supine_twist,START/END,Pilates Assets/02_Exercise_Cards/Supine Twist/supine_twist_start.png,1536,1024,7.9557,12.7338,10.1059,TOO PALE,TOO COOL/BLUE,40
russian,HERO,Pilates Assets/02_Exercise_Cards/Russian Twist/russian_twist_hero.png,1536,1024,8.8899,11.3015,9.9751,TOO PINK,TOO COOL/BLUE,41
row,START/END,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_start.png,1536,1024,9.4876,10.3785,9.8885,TOO COOL; TOO PALE,TOO COOL/BLUE,42
sideplank,START/END,Pilates Assets/02_Exercise_Cards/Side Plank/side_plank_start.png,1536,1024,11.0780,8.3066,9.8309,TOO PINK,TOO COOL/BLUE,43
hollow,HERO,Pilates Assets/02_Exercise_Cards/Hollow Hold/hollow_hold_hero.png,1536,1024,7.8843,12.0008,9.7367,TOO PALE,TOO COOL/BLUE,44
