exercise_id,frame,source_path,simulated_source,floor_score,wall_score,total_score,floor_diagnosis,wall_diagnosis,simulated_rank
donkey,HERO,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,9.752530876776875,15.571713837119074,12.371163208930865,TOO ORANGE,TOO COOL/BLUE,1
dumbbell_pullover,START/END,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover start.png,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover start.png,10.744825689581086,14.310629745378712,12.349437514690017,TOO PINK; TOO PALE,TOO COOL/BLUE,2
sidekick,HERO,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_hero.png,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_hero.png,11.581485903321143,13.151103227310188,12.287813699116214,TOO PINK; TOO PALE,TOO COOL/BLUE,3
sideleg,HERO,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_lift_hero.png,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_lift_hero.png,11.663295326092326,12.571200184043612,12.071852512170405,TOO COOL; TOO PALE; TOO GRAY,TOO COOL/BLUE,4
rdl,START/END,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,11.698156351327247,12.169628654799977,11.910318887889975,TOO COOL; TOO PALE,TOO COOL/BLUE,5
sideleg,START/END,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_start.png,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_start.png,10.372322277146846,13.587231147553705,11.819031268829933,TOO COOL; TOO PALE,TOO COOL/BLUE,6
standing_side_bend,HERO,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_hero.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_hero.png,8.728235648911223,15.254839220532432,11.665207256140768,TOO PINK,TOO COOL/BLUE,7
dumbbell_pullover,HERO,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover hero.png,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover hero.png,9.4350998512849,14.364144084035042,11.653169756022464,TOO PALE,TOO COOL/BLUE,8
standing_side_bend,START,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_start.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_start.png,8.793947991998166,15.067224979263793,11.616922636267699,TOO PINK,TOO COOL/BLUE,9
row,HERO,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_hero.png,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_hero.png,10.951132099933101,12.412679766947567,11.608828550089612,TOO COOL; TOO PALE,TOO COOL/BLUE,10
chest_fly,HERO,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_hero.png,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_hero.png,9.394154082135044,14.077340897172594,11.501588148901941,TOO PALE,TOO COOL/BLUE,11
rdl,HERO,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,11.18360690088447,11.527630671044838,11.338417597456637,TOO COOL; TOO PALE,TOO COOL/BLUE,12
rainbow,HERO,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_hero.png,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_hero.png,10.101652957230058,12.821263834925801,11.325477852193144,TOO COOL; TOO PALE; TOO GRAY,TOO COOL/BLUE,13
clam,HERO,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_hero.png,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_hero.png,11.449131904997472,10.910525412164576,11.20675898322267,TOO COOL; TOO PALE; TOO GRAY,TOO COOL/BLUE,14
standing_side_bend,END,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_end.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_end.png,7.483773197243805,15.689421316242818,11.17631485079336,TOO PINK,TOO COOL/BLUE,15
plie,HERO,Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_hero.png,Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_hero.png,9.397903351510775,13.261072983815357,11.136329686047837,TOO PINK,TOO COOL/BLUE,16
supine_twist,HERO,Pilates Assets/02_Exercise_Cards/Supine Twist/supine_twist_hero.png,Pilates Assets/02_Exercise_Cards/Supine Twist/supine_twist_hero.png,8.561870392138232,13.9885713188373,11.003885809152813,TOO COOL; TOO PALE,TOO COOL/BLUE,17
press,START/END,Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_start.png,Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_start.png,8.466797365370027,13.453676721757304,10.710893075744302,TOO COOL; TOO PALE,TOO COOL/BLUE,18
figure_four,HERO,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_hero.png,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_hero.png,9.701574196576882,11.564090889481403,10.539706708383918,TOO PINK,TOO COOL/BLUE,19
