exercise_id,frame_label,source_path,width,height,mode,format,sha256_before
press,HERO,Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_hero.png,1536,1024,RGB,PNG,61868521dc755c187a2e1c33ab1448ac392d97744699addd5cb58a41116211a4
raise,START / END,Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_start.png,1536,1024,RGB,PNG,aae7ecd8baa5fdc983acc01eee21f2085af47825f27239cacdc40048821f32dd
raise,HERO,Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_hero.png,1536,1024,RGB,PNG,1ef340dcfdb8fe7f8bad89ee7baddddb2e6b3466280ad454240e7ff12169e6f5
triceps_kickback,START / END,Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_start.png,1536,1024,RGB,PNG,4c33cf9b6af79de86567a508a3283c4f3c0ccd70c621bd9627b06927193b3c43
triceps_kickback,HERO,Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_hero.png,1536,1024,RGB,PNG,724935ca9f9294b7bc5d372e580ad635b6043dddbb1ade72053df6b3bb880005
chest_fly,START / END,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_start.png,1536,1024,RGB,PNG,22286e875ec4158bbcd96b75088ed598ba4aa7a3559b708ce8b9c141fec90267
chest_fly,HERO,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_hero.png,1536,1024,RGB,PNG,a6b8583fbb45db41ed7121d5da897af55bdc726bf69a5ac3655320403d7d0c52
bird,START / END,Pilates Assets/02_Exercise_Cards/Bird Dog/bird_dog_start.png,1536,1024,RGB,PNG,9d4cded4f4f1bfd7fb286735f448f2dae60ff7864d183eb9429d541d58e95a2c
bird,HERO,Pilates Assets/02_Exercise_Cards/Bird Dog/bird_dog_hero.png,1536,1024,RGB,PNG,a445a260343c75e4ec31d5ef3d2a078a589a3086c7b1f4acbc724d5d8f7c667c
plank,START / HERO / END,Pilates Assets/02_Exercise_Cards/Forearm Plank/forearm_plank_start.png,1536,1024,RGB,PNG,c6978e701cfaf76dab7111aab8d70370380a8c7bba853296861352a820127c68
chest_opener,START / END,Pilates Assets/02_Exercise_Cards/Chest Opener/chest_opener_start.png,1536,1024,RGB,PNG,ab5a7b2330678b5dbb3c52936b8b716c2842a5a10791bff6366765aa708690b4
chest_opener,HERO,Pilates Assets/02_Exercise_Cards/Chest Opener/chest_opener_hero.png,1536,1024,RGB,PNG,4583691f3fd532642d0b592efaa480cc1d532e002ef807e9ba8053adc4032f1c
standing_side_bend,START,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_start.png,1536,1024,RGB,PNG,39f2e1c5b5e34ef69e67d57ab1fdb9904a3956e3085c4f4547e8f2275c568917
standing_side_bend,HERO,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_hero.png,1536,1024,RGB,PNG,0e61aa8303c9c20069fe4ce35950c06bcb1edae2a91eaa238d81399a5063a351
standing_side_bend,OPPOSITE / END,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_end.png,1536,1024,RGB,PNG,d2d37740f15735a8c8e71ada8cf94b9a9db06a87f28b9da3bdd7dae1aec6334e
dumbbell_pullover,START / END,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover start.png,1536,1024,RGB,PNG,89a860d07cf72187d39f36edb63e0831f4eab4e270a55d833db369f104a86e2f
dumbbell_pullover,HERO,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover hero.png,1536,1024,RGB,PNG,79dcccf626d20aa003806d97629a172ba510d98392968e0320a1284bf4526250
rollup,START / END,Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_start.png,1536,1024,RGB,PNG,eb4afd992ab2ee21de775afb32e469b09d3bc42115a6d084ce1341cb8c9c7899
rollup,HERO,Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_hero.png,1536,1024,RGB,PNG,feb6de94738905d116caa668476f6885ef2bc46274afae7e201f0d3946e5a552
mermaid,START / END,Pilates Assets/02_Exercise_Cards/Mermaid Stretch/mermaid_stretch_start.png,1536,1024,RGB,PNG,a50e74bad93c001e36745d581b86ee8f30b472de9b2492d71d560b7039e8c6b8
mermaid,HERO,Pilates Assets/02_Exercise_Cards/Mermaid Stretch/mermaid_stretch_hero.png,1536,1024,RGB,PNG,2b17e9886867050df3ae96883004f47198e7d507f43da017720faa3e327b2da8
plie,START / END,Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_start.png,1536,1024,RGB,PNG,1c1d88cbc0e7f614237f275473b450fbc3454c234c9b334a9b9b3f327ea6712c
plie,HERO,Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_hero.png,1536,1024,RGB,PNG,bcbc35a23b2b5f2a3f06ed400f2157a28101446b822808409fc038f6476244ca
donkey,START / END,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_start.png,1536,1024,RGB,PNG,4a52bc908cc5616bc94ea795a9aab08fd0bef91a575a5ca45040cdce8c6c0db8
donkey,HERO,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,1536,1024,RGB,PNG,6c73b9d3036967e39c1128d572de168622b4f6c58b1c7f3786cba60ec9a5ba36
rainbow,START,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_start.png,1536,1024,RGB,PNG,0dc80d144c0e2f4d5166a3856979b0cc5e6272827ae7b6d7bd987320374a233d
